"Timestamp","Surviving_Generations","Relative_Time_Spent_in_GC"
"01.05.2011 14:12:27","1205","15"
"01.05.2011 14:12:28","1211","15"
"01.05.2011 14:12:29","1217","16"
"01.05.2011 14:12:30","1224","15"
"01.05.2011 14:12:32","1230","14"
"01.05.2011 14:12:33","1235","15"
"01.05.2011 14:12:34","1242","15"
"01.05.2011 14:12:35","1248","14"
"01.05.2011 14:12:36","1254","14"
"01.05.2011 14:12:38","1260","14"
"01.05.2011 14:12:39","1267","14"
"01.05.2011 14:12:40","1273","14"
"01.05.2011 14:12:41","1279","15"
"01.05.2011 14:12:42","1286","15"
"01.05.2011 14:12:44","1292","16"
"01.05.2011 14:12:45","1299","15"
"01.05.2011 14:12:46","1304","13"
"01.05.2011 14:12:48","1059","71"
"01.05.2011 14:12:49","1064","73"
"01.05.2011 14:12:52","257","71"
